Model	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	PMC ID
deepseek-r1:70b	KOBAS	Not described	GO, KEGG	Not described	Not described	Not described	0.5	1	1	1	1	1	PMC6318897
gemma3:27b	Blast2GO, WEGO, KOBAS	Not described	GO, KEGG	Not described	Hypergeometric test	Yes	0.67	1	1	1	0	0	PMC6318897
llama3.3:70b	Blast2GO, WEGO, KOBAS	Not described	GO, KEGG, KOG	Not described	Not described	Not described	0.67	1	1	1	1	1	PMC6318897
mistral-small3.1:24b	KOBAS	Not described	KEGG	Not described	Not described	Not described	0.5	1	0.5	1	1	1	PMC6318897
phi4:14b	KOBAS, BLAST2GO	Not described	GO, KEGG	Not described	Not described	Yes	1	1	1	1	1	0	PMC6318897
qwen3:32b	KOBAS, BLAST2GO	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6318897
qwq:32b	KOBAS, BLAST2GO	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6318897
gpt-oss:20b	Blast2GO, KOBAS	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	1	PMC6318897
GPT-4.1-nano	KOBAS	Not described	KEGG	Not described	Not described	Not described	0.5	1	0.5	1	1	1	PMC6318897
GPT-4.1-mini	KOBAS	Not described	KEGG	Not described	Not described	Not described	0.5	1	0.5	1	1	1	PMC6318897
GPT-4.1	KOBAS, BLAST2GO, WEGO	Not described	GO, KEGG	Not described	Not described	Not described	0.5	1	1	1	1	1	PMC6318897
Haiku3.5	KOBAS	Not described	KEGG	Not described	Not described	Not described	0.5	1	0.5	1	1	1	PMC6318897
Sonnet4	Blast2GO, WEGO, KOBAS	Not described	KEGG	Not described	Not described	Not described	0.67	1	0.5	1	1	1	PMC6318897
human	Blast2GO, KOBAS	No	GO, KEGG	No	No	No							PMC6318897
deepseek-r1:70b	Mummichog	Not described	KEGG	Not described	Fisher's exact test	Not described	1	0	1	0	0	0	PMC6323741
gemma3:27b	Mummichog	Not described	KEGG	Not described	Hypergeometric test	Not described	1	0	1	0	0	0	PMC6323741
llama3.3:70b	Mummichog	Not described	KEGG	Not described	Not described	Not described	1	0	1	0	1	0	PMC6323741
mistral-small3.1:24b	Mummichog	Not described	Not described	Not described	Fisher's exact test	Not described	1	0	0	0	0	0	PMC6323741
phi4:14b	Mummichog	Not described	KEGG	Not described	Not described	Not described	1	0	1	0	1	0	PMC6323741
qwen3:32b	Not mentioned	Not described	Not described	Not described	Not described	Not described	0	0	0	0	1	0	PMC6323741
qwq:32b	Mummichog	0.9.3	KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	0	1	PMC6323741
gpt-oss:20b	Mummichog	Not described	KEGG	Not described	Fisher's exact test	Not described	1	0	1	0	0	0	PMC6323741
GPT-4.1-nano	Mummichog	1.0.9	KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	0	1	PMC6323741
GPT-4.1-mini	Mummichog	1.0.9	KEGG	Not described	Fisher's exact test, permutation test	Yes	1	1	1	0	0	1	PMC6323741
GPT-4.1	Mummichog	1.0.9	KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	0	1	PMC6323741
Haiku3.5	Mummichog	1.0.9	KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	0	1	PMC6323741
Sonnet4	Mummichog	1.0.9	KEGG	Yes	No	Yes	1	1	1	1	1	1	PMC6323741
human	Mummichog	Yes	KEGG	Yes	No	Yes							PMC6323741
deepseek-r1:70b	Not described	Not described	KEGG	Not described	Not described	Not described	1	1	0.5	0	1	0	PMC6327913
gemma3:27b	KEGG	Not described	KEGG	Not described	Not described	Not described	0	1	0.5	0	1	0	PMC6327913
llama3.3:70b	Not described	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	0	PMC6327913
mistral-small3.1:24b	Not described	Not described	KEGG	Not described	Not described	Not described	1	1	0.5	0	1	0	PMC6327913
phi4:14b	Not described	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	0	PMC6327913
qwen3:32b	KEGG	Not described	KEGG	Not described	Not described	Not described	0	1	0.5	0	1	0	PMC6327913
qwq:32b	KOBAS	3	KEGG	Not described	Hypergeometric test	Yes	0	0	0.5	0	0	1	PMC6327913
gpt-oss:20b	DAVID	Not described	GO, KEGG	Not described	Not described	Not described	0	1	1	0	0	0	PMC6327913
GPT-4.1-nano	Not described	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	1	1	PMC6327913
GPT-4.1-mini	Not described	Not described	GO, KEGG	Yes	Fisher's exact test	Yes	1	1	1	1	1	1	PMC6327913
GPT-4.1	Not described	Not described	GO, KEGG	Yes	Fisher's exact test	Yes	1	1	1	1	1	1	PMC6327913
Haiku3.5	Not described	Not described	GO, KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	1	1	PMC6327913
Sonnet4	Not described	Not described	GO, KEGG	Yes	Fisher's exact test	Yes	1	1	1	1	1	1	PMC6327913
human	Not mentioned	No	GO, KEGG	Yes	Fisher's exact test	Yes							PMC6327913
deepseek-r1:70b	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
gemma3:27b	DAVID, WebGestalt	Yes	GO, KEGG	Not described	Hypergeometric test	Yes	1	1	1	0	0	1	PMC6329100
llama3.3:70b	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
mistral-small3.1:24b	DAVID, WebGestalt	Yes	GO, KEGG	Not described	Not described	Yes	1	1	1	0	1	1	PMC6329100
phi4:14b	DAVID, WebGestalt	Yes	GO, KEGG	Not described	Not described	Yes	1	1	1	0	1	1	PMC6329100
qwen3:32b	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
qwq:32b	DAVID, WebGestalt	Yes	GO, KEGG	Not described	Not described	Yes	1	1	1	0	1	1	PMC6329100
gpt-oss:20b	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
GPT-4.1-nano	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
GPT-4.1-mini	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
GPT-4.1	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
Haiku3.5	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
Sonnet4	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not described	Yes	1	1	1	1	1	1	PMC6329100
human	DAVID, WebGestalt	Yes	GO, KEGG	Yes	Not mentioned	Yes							PMC6329100
deepseek-r1:70b	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Hypergeometric test	Not described	1	1	1	1	0	0	PMC6329193
gemma3:27b	GOSeq, KOBAS	Goseq only	GO, KEGG	Not described	Hypergeometric test (KOBAS), not described for GOseq	Yes	1	0.5	1	1	0	1	PMC6329193
llama3.3:70b	GOSeq, KOBAS, STEM	Not described	GO, KEGG	Not described	Not described	Yes	0.67	1	1	1	1	1	PMC6329193
mistral-small3.1:24b	KOBAS	Not described	KEGG	Not described	Not described	Not described	0.5	1	0.5	1	1	0	PMC6329193
phi4:14b	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not described	Yes	1	1	1	1	1	1	PMC6329193
qwen3:32b	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	0	PMC6329193
qwq:32b	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not mentioned	Not described	1	1	1	1	1	0	PMC6329193
gpt-oss:20b	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	1	1	0	PMC6329193
